PIN,Longitude,Latitude
14110026,-72.842965,41.26324
14110073,-72.098824,41.31061
14110097,-72.825233,41.265235
14110130,-73.113418,41.154187
14110158,-72.892247,41.269442
14110283,-72.590936,41.271396
14110306,-72.866106,41.262037
14110460,-73.227853,41.151676
14110521,-73.401936,41.097606
14110705,-73.41296,41.09104
14110795,-72.409665,41.278467
14110835,-72.869213,41.250827
14111009,-72.875095,41.252138
14111195,-72.843136,41.263249
14111263,-73.262427,41.118521
14111356,-73.565226,41.026718
14111414,-71.951395,41.333562
14111417,-72.74764,41.262987
14111533,-72.258703,41.29592
14111979,-72.509886,41.257506
14112233,-73.021191,41.216808
14112830,-72.671783,41.273264
14112939,-72.389576,41.284367
14113052,-72.534316,41.274535
14113238,-72.951362,41.257162
14113321,-72.87149,41.272302
14113528,-72.951603,41.258669
14113535,-72.877499,41.247199
14113573,-72.124024,41.305779
14113747,-73.363262,41.148104
14113786,-73.378189,41.111747
14113845,-72.398399,41.283446
14114093,-72.874609,41.248757
14114238,-72.09998,41.449027
14114246,-73.044642,41.222746
14114416,-72.892012,41.262933
14114504,-72.891011,41.258406
14114557,-73.13699,41.180577
14114788,-72.374857,41.267229
14114983,-72.574894,41.273861
14115121,-73.133679,41.149609
14115175,-73.546153,41.059036
14115208,-73.045412,41.222727
14115448,-73.126846,41.15008
14115471,-72.995086,41.233457
14115500,-73.41681,41.103296
14115584,-73.373524,41.098601
14115740,-72.09099,41.318478
14115945,-72.8889,41.31184
14116133,-72.865395,41.265139
14116239,-73.101104,41.185923
14116324,-72.859843,41.251094
14116519,-73.002884,41.223664
14116754,-73.527295,41.035422
14116784,-72.75011,41.264914
14116881,-73.2906,41.130519
14117014,-72.793901,41.260821
14117203,-73.445812,41.071783
14117757,-72.857692,41.368984
14117763,-72.951461,41.285265
14117781,-73.023959,41.210441
14117818,-73.219998,41.153932
14117963,-72.871144,41.250454
14118159,-73.488512,41.045767
14118258,-72.172397,41.3516
14118277,-73.114583,41.170508
14118578,-72.893424,41.260467
14118628,-72.231791,41.300249
14118865,-73.361323,41.149838
14118890,-72.589862,41.27225
14119015,-72.806676,41.28056
14119351,-72.092036,41.440515
14119435,-71.840341,41.360477
14119617,-72.108895,41.399639
14119761,-73.187899,41.187967
14119802,-72.899975,41.253822
14120409,-72.226971,41.301527
14120577,-72.517474,41.263852
14120993,-72.173419,41.330049
14121238,-73.191569,41.168356
14121279,-73.274301,41.144893
14121979,-72.100161,41.337723
14122125,-72.851723,41.258609
14122236,-73.225939,41.160262
14122339,-73.449347,41.071003
14122611,-72.997297,41.223559
14122928,-73.021811,41.211481
14123081,-72.484918,41.271878
14123095,-72.863692,41.256654
14123230,-72.85024,41.259399
14123487,-72.397146,41.28523
14123611,-72.646008,41.26805
14123632,-72.669932,41.273554
14123923,-72.30356,41.305352
14123997,-73.04816,41.214544
14124021,-72.796384,41.263006
14124145,-71.835499,41.37821
14124202,-72.486045,41.280135
14124350,-72.799059,41.276165
14124470,-72.893869,41.263917
14124672,-72.125951,41.315955
14124675,-73.117623,41.19621
14124748,-72.47348,41.269964
14124915,-72.386491,41.267117
14124917,-73.353359,41.107601
14125062,-72.89277,41.246864
14125085,-73.080107,41.197495
14125602,-72.244773,41.321619
14125615,-73.238297,41.148801
14125881,-73.123781,41.152057
14126715,-72.872002,41.390115
14126802,-73.622261,41.017526
14126831,-72.517459,41.263059
14127163,-73.243041,41.134007
14127305,-73.268697,41.121659
14127488,-72.900686,41.271041
14127610,-72.945521,41.258592
14127710,-72.648818,41.265956
14128050,-73.06415,41.20359
14128159,-72.808667,41.253335
14128346,-73.347204,41.115666
14128357,-71.976973,41.343094
14128451,-72.867615,41.264148
14128591,-71.833812,41.375846
14128948,-72.384652,41.270648
14129112,-73.010792,41.213317
14129249,-72.827367,41.271974
14129439,-73.263983,41.140164
14129473,-72.189036,41.324129
14129746,-73.219998,41.153932
14130004,-73.244429,41.142709
14130081,-73.042809,41.221583
14130150,-72.533526,41.269698
14130167,-72.206379,41.311764
14130348,-73.221861,41.158822
14130447,-73.658764,40.996041
14130500,-72.821063,41.262098
14130535,-73.365978,41.123278
14130768,-73.226417,41.154603
14130801,-72.137415,41.340999
14130901,-71.841665,41.355843
14130955,-73.222917,41.155749
14131186,-73.38455,41.101114
14131278,-72.873027,41.315338
14131473,-71.932205,41.335991
14131572,-72.433886,41.283474
14131775,-73.519552,41.044956
14132006,-73.245379,41.14488
14132234,-72.579981,41.272155
14132342,-72.215012,41.308511
14132358,-73.034767,41.213242
14132428,-73.169307,41.17168
14132458,-73.268152,41.130732
14132655,-72.990088,41.236923
14132941,-73.418038,41.080032
14133108,-72.391968,41.28033
14133109,-71.909792,41.348761
14133401,-72.890186,41.247752
14133444,-72.99153,41.238557
14133454,-72.88783,41.315319
14133490,-72.417032,41.28194
14133598,-72.147525,41.318448
14133604,-72.210141,41.308417
14133950,-73.480599,41.047743
14133952,-72.940931,41.269133
14134119,-72.870025,41.259061
14134211,-72.387534,41.283462
14134327,-72.805954,41.277139
14134382,-72.576515,41.271885
14134568,-72.421252,41.286043
14134744,-72.996856,41.229532
14134824,-72.80712,41.278724
14134889,-72.385782,41.281038
14135320,-72.530846,41.270121
14135371,-72.959368,41.324374
14135484,-72.420707,41.279911
14135671,-72.821146,41.262083
14135785,-73.120733,41.155054
14135862,-73.030444,41.210841
14136144,-72.526689,41.284687
14136164,-73.051077,41.215402
14136288,-73.226116,41.14536
14136365,-72.420975,41.277053
14136411,-73.52867,41.020304
14136582,-72.131038,41.30451
14136697,-73.430098,41.067492
14136729,-72.943878,41.262644
14137113,-72.70722,41.245634
14137177,-71.961584,41.354074
14137222,-71.96738,41.354557
14137233,-72.380555,41.393966
14137365,-71.896028,41.343831
14137543,-72.102717,41.310491
14137643,-71.843438,41.34868
14137646,-73.241148,41.15344
14137711,-73.527023,41.02375
14138078,-72.809361,41.279183
14138207,-72.811386,41.270689
14138605,-73.104064,41.220686
14138648,-72.394832,41.293749
14138722,-72.811527,41.281529
14138842,-73.004929,41.220534
14139011,-73.26051,41.136159
14139069,-72.802075,41.278906
14139204,-72.313414,41.291412
14139322,-73.014084,41.210923
14139393,-72.176508,41.351925
14139462,-72.828278,41.269908
14139568,-72.893082,41.303613
14139635,-72.773592,41.264076
14139771,-73.167483,41.173632
14139998,-72.819499,41.266878
14140072,-72.793901,41.260821
14140447,-72.873125,41.315123
14140515,-71.970413,41.357099
14140854,-72.839275,41.260936
14141097,-72.215704,41.310649
14141107,-73.168259,41.172398
14141157,-72.944108,41.281496
14141483,-72.810141,41.283357
14141501,-73.315773,41.122544
14141960,-73.128839,41.150692
14141974,-72.833014,41.258106
14142425,-72.384486,41.274642
14142556,-72.209564,41.313536
14142560,-72.687681,41.285426
14142663,-72.872405,41.271691
14142962,-72.790511,41.262803
14142973,-73.126341,41.189901
14143157,-72.797686,41.261208
14143361,-72.425037,41.275841
14143499,-73.243071,41.131134
14143589,-73.508858,41.041441
14143846,-72.999705,41.223586
14144067,-73.413258,41.083414
14144110,-72.502837,41.27039
14144200,-73.600598,41.031328
14144428,-71.847255,41.353002
14144500,-73.233379,41.155521
14144546,-73.08178,41.194818
14144651,-73.00302,41.223957
14144727,-72.869807,41.249046
14144814,-71.835661,41.37255
14144818,-73.056916,41.21906
14144908,-73.436156,41.062537
14145121,-72.873005,41.315386
14145122,-73.444456,41.062266
14145140,-72.975295,41.234347
14145174,-72.708561,41.24949
14145229,-72.86536,41.278203
14145694,-73.039735,41.204852
14145901,-72.799635,41.280198
14145954,-73.22337,41.153552
14146281,-73.060129,41.208053
14146652,-73.132001,41.152112
14146731,-73.413664,41.082584
14146768,-73.228969,41.150091
14146787,-71.899015,41.341878
14147066,-73.227288,41.15252
14147118,-73.230734,41.156281
14147136,-73.079938,41.202233
14147258,-73.352845,41.110438
14147571,-73.226748,41.154325
14147959,-73.604212,41.029431
14147989,-73.571228,41.030691
14148169,-73.45728,41.056596
14148253,-73.119259,41.152935
14148281,-72.940868,41.25974
14148450,-73.061107,41.209561
14148482,-72.23712,41.306922
